button_text;answer_text;buttons
start;Привет! Фиксики уже в пути! А пока давай попробуем разобраться самостоятельно. Вебери что будем чинить:;Решение проблем
;;Инструкции
;;Контакты техподдерржки
;;Получение номера Avaya
Решение проблем;Выбери раздел:;CRM,Cisco,Citrix
;;Проблемы со звуком
;;Подключение прервано
;;"Ошибка: ""...unsuccessful domain name..."""
;;"Ошибка ""Это приложение заблокировно вашим систеным администратором"""
CRM;Что случилось с CRM?;CRM завис
;;CRM не принимает пароль
;;Ваша сессия уже используется
;;Ошибка при запуске CRM
Cisco;Что случилось в Cisco?;Требует обновить Антивирус
;;Требует обновления Windows
;;"Ошибка: ""...unsuccessful domain name..."""
;;Другая ошибка
Проблемы со звуком;Уточни проблему…;Не слышно клиента/Клиент не слышет
;;Прерывания звука/плохая связь
Подключение прервано;"Если в течении минуты соединение не восстановилось, то переоткрываем образ открыв чёрную шторку сверху и выбрав там ""Отключить"". Затем заново открываем образ через Citrix.

Если образ открылся и сохранилось все открытое ПО, то оформляем СБОЙ и продолжаем работу.

Если после перезагрузки открылся новый образ (все ПО закрыто):
1. Запускаем Avaya One X ждём 30 минут.
2. Оформляем сбой, и продолжаем работу.";
Контакты техподдерржки;"Контакты РРП:
Почта: ERKC_AIB_Omsk-zsb@omega.sbrf.ru
Телефоны:
8-5449-1791
8-5449-1844
8-5449-1798
8-5449-1777
Контакты МЦТП:
Техподдержка 24/7: 8-800-707-32-77";
"Как использовать ""УР Загрузка ПО""";"Для того чтобы номер Avaya встал на запись в Nice требуется до 30 минут.
Поэтому перед сменой необходимо зайти в программу Avaya One X за 30 минут.
Для этого используется перерыв ""УР Зарузка ПО""
""УР Загрузка ПО"" можно ставить только до начала смены.
Если смена уже началась, но еще не прошло 30 минут с момента запуска Avaya One X, то необходимо использовать ""Проблемы IT"", с последующим оформлением СБОЯ.";
CRM завис;"Выполните с рабочего стола ВАРМ:
1. ""Завершить iexplorer.exe""
2. ""Очистка кэша Java""
3. Запускайте CRM и проверяйте.";
CRM не принимает пароль;"Выполните разблокировку СУДИР через мобильное приложение СберДруг по шаблону ""Авторазблокировка учётной записи СУДИР"" без сброса пароля.
Или по шаблону ""Универсальный шаблон на разблокировку"" через ВАРМ также выбрав СУДИР.
После этого перезапустите CRM предварительно запустив ""Завершить iexplorer.exe"".";
Ошибка при запуске CRM;Направь скриншот с ошибкой на ПОЧТУ РРП с описанием твоей проблемы. (В чат УР_Омск направлять НЕЛЬЗЯ!);
Требует обновить Антивирус;"Вам необходимо обновить базы антивируса. Для этого:
            1. В Cisco нажми кнопку Disconnect
            2. Нажми правой кнопкой мыши на значок Касперского (справа внизу)
            3. Выбери Задачи - Обновить базы
            4. Ждём пару минутт и проверяем наведя мышкой на значок Касперского (во всплывающем окне должна появиться информация с сегодняшней датой баз)
            5. Подключи VPN заново";
Требуется обновления Windows;"Вам необходимо установить все доступные обновления Windows. Для этого:
1. В Cisco нажми кнопку Disconnect
2. Нажми Пуск - Параметры - Обновление и безопасность - Проверить наличие обновлений
3. Запусти установку обновлений и дождись окончания
4. Перезагрузи ПК и подключайся заново";
Другая ошибка;"Решение большинства ошибок описано в СберДруг в шаблоне ""Дистанционная работа"" в разделе ""Частые вопросы и решение проблем""";
"Ошибка: ""...unsuccessful domain name...""";"В Cisco в разделе VPN требуется вручную внести другой сервер:
Для корпоративных ПК подключаться к серверу ? ?- ? ?185.157.98.130
Для личных ПК подключаться к серверу ? ? ?- 185.157.98.130/BYOD";
Как оформить заявку по проблеме в СберДруг;"Для оформления заявки необходмо:
1. Через поиск на сайте СберДруг найти шаблон ""Дистанционная работа""
2. Перейти справа в раздел ""Частые вопросы и решение проблем""
3. Пролистать в нижнюю часть страницы и выбрать ""Друая проблема""
4. Заполнить поля и оформить заявку.";
Citrix;Какая ошибка в Citrix?;Нет разрешения на вход
;;Учётная запись заблокирована
;;"Cannot complate your request
Не удается выполнить запрос"
Нет разрешения на вход;Напиши в группу УР_Омск для оформения ЗНО на разблокировку.;
Учётная запись заблокирована;"Выполни разблокировку учётной записи через мобльное приложение СберДруг по шаблону ""Авторазблокировка учётной записи во внутреннем домене и домене Sigma"" без сброса пароля.";
"Cannot complate your request
Не удается выполнить запрос";"Необходимо очистить кэш браузера:
На клавиатуре нажать Ctrl+Shift+Delete
В открышемся окне выбрать все галочки и выбрать ""За все время""
Перезапустить браузер и повторить попытку входа.";
